Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
691.0,1.69002883,15.40908639,19.88269212,,,282.3360784,94.01247431,33.29807329,289.69766426,908.79345067,14.18074756,9.66673261,3.21883571,2.29741994,2.21124605,8.53254002,1612.91776693,1611.58992066,237.45916679,1730.98342719,4.14108938,4.13938444,1.5889234,4.28997683,-0.82383931,3.41183893,22.01074332,0.92820679,81.22990293,20.0,148.0,0.07918635,4.80655509,0.08415873,188.24441775,66.67387987,188.3236041,66.70192671,4.854955761
951.0,1.69002883,20.57858634,19.88269212,,,548.95914394,163.680302,29.81648157,464.90438038,1511.87641619,20.07971431,9.23676458,2.75407821,2.67036374,2.69574218,11.25540589,5108.94048301,5102.78639412,596.35637518,5404.04162615,5.58550632,5.58214124,1.90831498,5.74455602,-3.5721601,6.20096463,9.78723816,0.14714655,57.69736991,49.0,219.0,0.19855448,9.26494843,0.1211593,385.08028746,70.14734916,385.27884193,70.18351843,7.1134307585
831.0,1.69002883,18.19266329,19.88269212,,,342.52410061,102.49069449,29.92218483,341.78191175,1013.2533429,16.7053265,9.886296,2.95819576,2.29036736,2.25926073,9.89207128,2519.11453543,2518.20625282,268.10771563,2652.71425194,4.95639086,4.95549725,1.61694872,5.08612262,1.11972288,29.76979001,-10.79342125,0.80557709,340.08571135,30.0,128.0,0.10084584,4.89394774,0.0982984,239.93256028,70.0483732,240.03340613,70.07781517,8.994134606
840.0,3.89700765,20.57858634,19.88269212,,,218.69469012,54.66298132,24.99511135,267.37829786,539.18811173,8.36102871,9.86386214,2.46548332,1.82566736,1.79824164,12.1811932,1384.56892488,1386.80394774,87.22794172,1429.30040717,5.03105587,5.03511489,1.26278572,5.11167941,1.23450657,7.42193155,15.15412508,0.74458354,63.83376627,26.0,59.0,0.03569277,2.06379412,0.06525345,163.99601603,74.98856783,164.0317088,75.00488865,11.2237796995
951.0,1.69002883,20.57858634,19.88269212,,,430.54930789,107.96495809,25.07609607,405.79063533,991.37341007,16.09693843,9.18236276,2.30257811,2.30926681,2.32371045,10.96589629,3589.3849009,3592.44355517,301.37412663,3741.60129135,5.76453713,5.7669927,1.67034972,5.88549748,-2.03312072,-18.69192185,-17.60577247,0.44694591,223.25730649,43.0,120.0,0.09983612,5.19977425,0.09238543,322.48451369,74.90071585,322.58434981,74.92390393,13.1134307585
814.0,1.69002883,17.85465752,19.88269212,,,380.91124353,124.77468709,32.75689264,360.537056,1136.48306611,18.53378411,9.10828224,2.98359023,2.40597491,2.40078226,9.8487651,2940.91427603,2939.88639546,370.24846951,3125.5245705,4.85399606,4.85314772,1.72228442,5.00402759,-0.86410324,1.47288766,10.43961359,0.23505074,81.99102649,24.0,213.0,0.10781686,6.7313629,0.08633464,256.02873958,67.21480238,256.13655644,67.24310736,14.977234317499999
527.0,1.69002883,12.14832488,19.88269212,,,248.63449088,78.124088,31.42125926,251.1547343,820.73632467,16.76272417,10.50554759,3.30097535,2.36558127,2.39495734,6.99926389,803.06877627,799.522542,231.20690044,916.89910936,3.20511582,3.19803133,1.71975964,3.42474416,0.61302805,0.81194929,-12.77154043,1.28911032,273.55428275,41.0,191.0,0.09372614,5.76154525,0.1198271,170.41667674,68.54104438,170.51040288,68.57874074,17.6919176855
951.0,1.69002883,20.57858634,19.88269212,,,489.87008312,143.66092043,29.32633067,436.11120106,1408.25293331,20.67555965,9.80261667,2.87474778,2.48967395,2.57590386,11.24399524,4587.63158265,4590.03516556,467.27802237,4822.47238529,5.64917259,5.65065228,1.80292746,5.79195863,-0.2781322,5.20506101,9.79536419,0.15416598,62.00303074,62.0,214.0,0.1099379,7.03460703,0.07646744,346.0992248,70.65122707,346.20916269,70.67366933,20.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,637.33486249,172.88607442,27.12641103,505.81255745,1607.69172646,20.27632472,9.29913952,2.52252281,2.94939561,2.94854039,11.59031324,5477.13430423,5463.90137582,731.70036703,5836.36802353,5.62711155,5.6203098,2.0567214,5.80871628,-0.34951429,-58.55943466,41.61164019,0.86797552,144.52591351,64.0,208.0,0.16292491,8.55680211,0.09414958,464.28586316,72.8480255,464.44878808,72.87358897,22.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,463.44632451,128.46900062,27.72036239,422.79614305,1279.71744459,17.98508958,9.96129368,2.76130671,2.38232454,2.48297231,11.3672269,4152.26472912,4139.22843537,391.36891433,4341.43103941,5.68319476,5.67426637,1.74479009,5.81120874,-2.18593858,-6.48053251,1.80367231,0.10253717,164.36691701,87.0,197.0,0.08391021,5.65780238,0.0652729,334.89341368,72.26153191,334.97732389,72.27963761,24.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,2610.8363324,692.46348883,26.52266939,1163.91579049,6194.48221803,68.92494907,8.94557232,2.37260457,5.87524513,5.85387493,11.3841359,26214.19298644,26418.13846847,11788.52853907,32210.42999699,6.15149456,6.17537741,4.1251733,6.8188425,-9.83060389,60.28166057,-191.75299668,0.78833951,287.71493575,218.0,880.0,0.79110513,38.40107018,0.11411466,1917.58173844,73.44702978,1918.37284357,73.47733061,27.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,467.1762977,142.80288408,30.56723656,424.69355033,1456.35276666,17.63315757,10.19834281,3.11735157,2.45483663,2.53908212,11.46773152,4598.54057947,4599.13282465,429.46717592,4813.57029002,5.67300345,5.67336875,1.73367635,5.80412417,4.20469421,16.27234094,12.06750145,0.27866201,36.57335015,93.0,290.0,0.12219686,8.38105694,0.08549714,324.25121675,69.40660696,324.37341361,69.43276344,29.1134307585
814.0,1.69002883,17.85465752,19.88269212,,,439.18485512,134.88429825,30.71242022,390.89055743,1372.33118436,18.76807748,10.17413592,3.12472338,2.59797588,2.57342294,9.95530785,3162.86787963,3146.2818252,443.1828495,3376.16627717,4.84077956,4.82807037,1.81203363,5.00134363,-1.45531296,16.17803827,15.9495073,0.47975269,44.76732573,82.0,216.0,0.08151397,6.04320621,0.06039602,304.2190429,69.26901949,304.30055687,69.28757978,30.9772343175
603.0,8.60920569,20.57858634,19.88269212,,,215.02745981,65.32034127,30.37767424,238.49256512,640.59000882,12.9273751,9.8068993,2.97910792,2.20988777,2.08991444,14.47593954,837.42974664,836.06954486,143.92820302,908.71374726,3.57945225,3.5765441,1.48393656,3.72868702,1.73024858,4.08602546,-11.27904749,0.99086499,289.76778268,35.0,67.0,0.0527613,2.7514872,0.08070797,149.65435724,69.59778875,149.70711854,69.62232576,32.4593896015
163.0,4.37419227,7.59518839,19.88269212,,,55.96133418,15.52945862,27.75033663,88.13634824,155.89813528,8.34159014,10.03886479,2.78581877,2.1376767,2.17020967,6.01833061,27.19022874,30.45345191,33.26665654,45.45516859,1.32270792,1.39983158,1.46305988,1.7102089,1.91767939,-0.67144715,-0.22302949,84.29026637,204.71510907,10.0,12.0,0.00594842,0.39634666,0.03828946,40.42592714,72.23903385,40.43187556,72.24966337,33.598469033
383.0,12.98339795,20.57858634,19.88269212,,,131.49417941,34.51246779,26.2463844,160.74197601,389.10101557,9.8318362,11.27421597,2.95907406,2.0069447,2.10056038,16.68808093,215.42395109,215.70300154,72.95455235,252.04075249,2.49713389,2.4987507,1.45318542,2.70103504,0.12453996,-1.03352482,0.09695475,0.41736546,174.70031686,21.0,26.0,0.03933895,1.59057903,0.11385498,96.94237267,73.72369872,96.98171162,73.7536156,34.678099214499994
951.0,1.69002883,20.57858634,19.88269212,,,482.24568868,134.52368294,27.89525881,432.29899234,1528.25344952,17.04458013,11.36047881,3.16903497,2.52048193,2.48013107,10.99014155,4166.44824181,4176.82034658,422.12650884,4382.69754861,5.56291839,5.56983834,1.77068377,5.70545709,-2.20701885,-19.39617443,35.46167697,0.61739845,118.76189661,82.0,195.0,0.10805993,6.61110124,0.08026334,347.61394581,72.08233354,347.72200574,72.10474119,36.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,520.96565382,134.5024641,25.81791393,451.42328736,1482.39158636,17.14970754,11.02129687,2.84546894,2.60403395,2.61999828,11.20615338,4298.26993651,4308.31015174,464.53415754,4535.55712289,5.6507678,5.65736369,1.85767375,5.80464867,3.83356016,36.84037018,-16.00763302,0.59954213,336.60820133,69.0,142.0,0.13913698,6.59121158,0.10333878,386.32405274,74.15537856,386.46318972,74.18208607,38.1134307585
816.0,1.69002883,17.8944229,19.88269212,,,357.2182015,96.63915544,27.05325625,347.95650523,1076.8596602,13.88729162,11.14309883,3.01457108,2.33105831,2.32968718,9.75969311,2235.43998949,2233.21230146,266.28619765,2367.4692443,4.80721654,4.80482067,1.65915326,4.9471417,3.62969607,-16.15634927,4.09599767,0.48453041,165.85150814,63.0,78.0,0.08934685,4.37854406,0.09236868,260.48969922,72.92173191,260.57904606,72.94674375,39.9792225865
951.0,1.69002883,20.57858634,19.88269212,,,409.29070556,102.13466824,24.95406489,394.52478804,1082.90548236,13.89993368,10.60272189,2.6458101,2.28564071,2.35066089,11.35417248,3311.64099828,3309.77800074,274.9395645,3448.17928176,5.6918369,5.69023567,1.64002112,5.8079884,0.49508083,-4.84784152,-2.7075617,0.10479641,209.20360845,43.0,115.0,0.11072564,5.15330548,0.10829401,307.04531168,75.01888206,307.15603732,75.04593511,42.1134307585
790.0,1.69002883,17.37747291,19.88269212,,,266.06370213,65.11895708,24.47494963,291.90799357,683.29116458,8.80090569,10.49296849,2.56814875,2.07851179,2.03501962,9.50112621,1371.26654368,1374.95395663,134.46399456,1440.34224744,4.58711658,4.59327994,1.43642132,4.70123204,2.13576495,3.21559258,4.92566186,0.27235943,56.74480712,41.0,68.0,0.11878707,4.70503865,0.18208335,200.82595798,75.48040427,200.94474505,75.52505037,43.953375087
679.0,7.09812109,20.57858634,19.88269212,,,205.02110727,51.98960334,25.35817118,240.32084534,559.22755086,12.32758477,10.75652659,2.72765843,1.90519772,1.92614449,13.6996001,879.16749874,878.59064951,97.84362483,927.80088654,4.11019709,4.10884845,1.37117568,4.22234997,1.56893807,-7.07236751,1.79142896,0.53446038,165.87718692,29.0,43.0,0.05340907,2.42622199,0.10262486,152.97809487,74.6157783,153.03150394,74.64182882,46.3838353715
826.0,1.69002883,18.09324983,19.88269212,,,311.37727843,82.96158627,26.6434297,323.3794175,891.50547955,12.01278488,10.7460033,2.86310383,2.21002361,2.1194113,9.72410036,1975.18817574,1974.2522659,190.67327491,2070.05685827,4.87751806,4.87636236,1.51544284,4.99327845,0.01375527,0.53603745,11.54625028,0.37129077,87.34288974,42.0,93.0,0.07048884,3.69268575,0.0848935,228.34520331,73.33393254,228.41569215,73.3565703,46.989163933
807.0,4.55313649,20.57858634,19.88269212,,,326.84679728,83.18285696,25.45010618,329.83087165,925.53289338,12.41794141,11.126486,2.8317025,2.26110551,2.2597627,12.40882359,1890.62999185,1888.83225824,213.27543209,1996.36884109,4.76538573,4.76311957,1.6005351,4.89683172,1.98162487,6.89630554,-1.6648473,0.24221226,346.47411785,42.0,116.0,0.08524599,4.80061416,0.10237533,243.57869433,74.52381249,243.66394032,74.54989382,49.256586141499994
951.0,1.69002883,20.57858634,19.88269212,,,416.31710704,95.8226342,23.01674195,398.27374532,1049.70562541,13.88846936,10.95467302,2.52140882,2.33638557,2.32791984,11.06802258,2931.38982247,2922.63672642,259.54588982,3056.78621936,5.52867228,5.52041183,1.64509559,5.64568434,2.0468241,3.94423224,7.28015109,0.17812097,61.6067475,42.0,111.0,0.11424,5.1602466,0.1190783,320.38023284,76.95581743,320.49447284,76.98325805,51.1134307585
501.0,10.63724028,20.57858634,19.88269212,,,175.3150606,53.45569006,30.49121386,201.93173034,527.11821029,10.49158796,9.86084381,3.00669097,2.0281838,2.08185598,15.66035603,486.54657795,492.00595875,114.05373436,546.30313553,3.01609113,3.03296522,1.46028291,3.19594352,-3.20497292,2.1232644,2.74735157,0.52485773,52.0189064,27.0,108.0,0.0804191,3.96428336,0.15021469,121.77895144,69.46291495,121.85937054,69.50878614,55.560791331000004
951.0,1.69002883,20.57858634,19.88269212,,,445.02070593,137.29924805,30.85232804,413.3328259,1371.70957096,16.87067842,9.99065611,3.08235,2.41416323,2.39257115,11.07010092,4162.76913065,4167.29813022,396.3916015,4363.22943119,5.50527647,5.50827047,1.69883106,5.63627268,1.60203938,-13.88813867,-42.71153698,0.68253219,251.94752967,34.0,259.0,0.19646459,9.79269714,0.14288779,307.52499329,69.10352467,307.72145788,69.14767196,56.1134307585
670.0,7.27706531,20.57858634,19.88269212,,,339.75189473,94.39181276,27.78257141,319.56644541,966.48807888,16.7823299,10.2391092,2.84468783,2.48937145,2.39520449,13.76740517,1584.77797926,1596.439335,302.74674076,1741.98202751,4.0964903,4.11153439,1.79047168,4.29486534,1.8174215,-5.72396307,-9.30526916,0.48562483,238.13484513,28.0,132.0,0.05804483,4.1311867,0.06145571,245.30203714,72.20034412,245.36008197,72.21742859,58.392782582500004
951.0,1.69002883,20.57858634,19.88269212,,,351.9806895,92.41471719,26.25562139,362.91402876,957.40796658,12.83258564,10.35990799,2.72005822,2.15512907,2.20924641,11.03228786,3000.44584904,3002.28363505,215.85876629,3109.29412519,5.69624079,5.69798501,1.52784849,5.79864266,1.72782888,7.12466536,5.7117855,0.18795393,38.70815246,37.0,136.0,0.08156785,4.88768636,0.088185,259.48440446,73.72120466,259.56597231,73.74437861,60.1134307585
767.0,5.34844418,20.57858634,19.88269212,,,410.67341492,127.11908098,30.95381302,369.81494611,908.52378578,21.52758492,7.14702922,2.21227806,2.54443619,2.52978695,12.92725839,2722.61716461,2711.1107855,425.20267502,2929.46531257,4.62692997,4.61714241,1.82851123,4.79947593,-1.23807356,28.75996475,-10.66521905,0.76553678,339.53601014,70.0,289.0,0.21165529,11.09942865,0.16622482,283.34267865,68.99464839,283.55433394,69.04618698,61.296351525999995
869.0,1.69002883,18.94820559,19.88269212,,,400.00949807,132.92434759,33.23029784,378.21751109,863.2378946,17.43262204,6.49420449,2.15804349,2.30779048,2.3306864,10.11488105,3167.84672176,3186.73966055,379.19764538,3366.89201384,4.8810721,4.89560575,1.68875232,5.03208232,1.20050053,55.79842628,-4.0618946,1.14874463,355.88859346,56.0,326.0,0.50670788,19.05168436,0.37975259,266.5784426,66.6430282,267.08515048,66.76970216,63.031911721
757.0,5.5472711,20.57858634,19.88269212,,,259.90001631,68.16386681,26.22695749,284.17154323,665.27174644,12.03371705,9.7598886,2.55972183,2.12441787,2.14290174,12.83494886,1406.35870372,1399.27041221,141.96600655,1473.79756124,4.54068992,4.52923253,1.44266659,4.64828459,-1.79291561,-0.74479199,8.57864873,0.39245829,95.01427451,25.0,102.0,0.11856568,5.66705002,0.1736401,191.61758382,73.72742278,191.7361495,73.77304251,63.306292872
391.0,12.82433642,20.57858634,19.88269212,,,240.94152533,93.52069371,38.81468484,234.66481884,547.58150411,18.27520756,5.85519079,2.27267385,2.86547516,2.82248593,16.89465639,583.3518947,578.24663982,348.49289514,755.04571483,2.49761844,2.48666536,1.93044641,2.84149836,6.15043388,30.7687282,2.77786772,7.41254643,6.74574309,57.0,750.0,0.15328515,18.38154842,0.16363685,147.26754647,61.12169592,147.42083161,61.18531516,64.670146138
850.0,1.69002883,18.57043444,19.88269212,,,490.65726366,167.04064515,34.04426216,421.66978514,1276.32218514,17.5081764,7.64078817,2.60124996,2.73447746,2.55514767,10.01143286,4017.54269734,4038.86792629,582.24633705,4319.32848034,4.90214743,4.91514058,1.86620565,5.08293124,15.79042314,21.68320464,-89.11417124,1.51616062,283.52304954,99.0,375.0,0.10858659,8.97054614,0.06496386,323.50803192,65.933607,323.6166185,65.95573784,65.01302316350001
869.0,1.69002883,18.94820559,19.88269212,,,472.44559183,132.50287132,28.04616523,415.439711,1451.3986184,18.12970117,10.95371447,3.07209686,2.58962533,2.57571138,10.06590354,3732.46767795,3720.16147187,452.53962325,3952.58438654,5.30547574,5.29672225,1.84737308,5.45967612,0.4515182,27.79790936,34.46348433,0.77513913,51.21417496,56.0,297.0,0.18410239,11.19614864,0.13874941,339.75861812,71.91486681,339.94272051,71.95383477,65.031911721
583.0,9.00685953,20.57858634,19.88269212,,,238.20801842,96.02232731,40.3102834,250.8101031,553.19492993,23.74884476,5.76110729,2.32231868,2.22401122,2.26748371,14.22132342,1223.63028658,1222.24750311,242.55264985,1344.21521977,3.56926246,3.56724514,1.58911888,3.74100061,5.38029308,25.8755875,-8.8840807,1.59101471,341.27469689,25.0,171.0,0.04269667,3.8179533,0.04444559,142.14299445,59.67179249,142.18569111,59.6897166,70.4792722935
951.0,1.69002883,20.57858634,19.88269212,,,611.41191512,145.88284933,23.8599945,494.053349,2520.34838214,17.36257409,17.27652287,4.12217741,2.81126622,2.83599389,10.91792681,4816.20279759,4812.6426339,587.38659677,5108.11601413,5.73695418,5.73483339,2.00350769,5.90825695,0.50365503,31.67128023,-0.71136485,0.42918482,358.71906145,171.0,101.0,0.03228101,2.54870849,0.02212314,465.49678478,76.13472575,465.52906579,76.1400055,72.1134307585
797.0,1.69002883,17.51665175,19.88269212,,,379.09521329,79.34172963,20.92923541,357.27930306,1340.98310168,11.48498279,16.90135957,3.53732533,2.4206999,2.44378747,9.33768996,1797.35206526,1795.22493967,237.04363902,1914.81032198,4.75199856,4.74918578,1.72573408,4.90481467,-1.38404343,-1.1984208,2.65282429,0.10708482,114.31549663,110.0,64.0,0.03190062,2.13824307,0.04019045,299.72158303,79.06234965,299.75348365,79.07076459,73.960334029
447.0,11.29336912,20.16104981,19.88269212,,,159.39803347,32.43767696,20.35011113,186.02185218,475.19493222,8.37510477,14.64947483,2.98118441,2.18090537,2.14529074,15.8160115,256.82947549,257.832904,72.55535629,293.60886789,2.81060833,2.81609348,1.49386942,3.00512458,0.35268184,2.38908496,-1.42692461,0.86230491,329.34032537,39.0,55.0,0.04405331,2.45166323,0.1356249,126.9163032,79.62225157,126.96035651,79.64988887,78.5727209465
821.0,2.7835769,19.08738443,19.88269212,,,390.5109365,107.76198141,27.59512509,366.60409878,997.93154333,14.71115315,9.26051591,2.55545095,2.35123955,2.48580365,11.10150602,2478.44073759,2477.85322652,313.74364379,2635.01880394,4.79397373,4.79340549,1.70566543,4.94308684,-0.13793729,-10.09905278,1.59061961,0.27059863,171.04347181,51.0,181.0,0.07464635,5.19033704,0.0692217,282.67430874,72.38575986,282.74895508,72.40487491,79.0935480665
951.0,1.69002883,20.57858634,19.88269212,,,298.99117252,79.59125355,26.61993425,331.76026107,761.26660183,13.03495049,9.56470175,2.54611732,1.92798518,2.00088814,11.38561457,2458.41366192,2462.44026195,154.32919215,2537.59155801,5.55514431,5.55969179,1.39184831,5.6438924,0.01003685,13.45703009,-15.26334441,0.50545624,311.45079742,30.0,94.0,0.02918988,2.27748314,0.03666129,219.37072909,73.37030295,219.39991897,73.38006575,81.1134307585
860.0,3.49935381,20.57858634,19.88269212,,,270.38093144,79.4916665,29.39987893,303.02300627,798.70241127,12.93244645,10.04762444,2.95398942,2.04411583,1.97600509,11.27286929,1936.49627563,1934.72134141,153.21890226,2012.21825965,4.93251165,4.93025064,1.38744559,5.02802386,-2.16359447,-37.52382812,-19.86787257,1.36208903,207.88452491,56.0,78.0,0.01583965,1.61384624,0.0199222,190.87342529,70.5942628,190.88926494,70.60012107,81.20389700749999
951.0,1.69002883,20.57858634,19.88269212,,,398.86322701,94.70599106,23.74397654,388.91321175,1157.75465165,12.9769458,12.22472453,2.90263572,2.36959192,2.33146619,10.86967834,2974.51424298,2967.60851318,240.97808528,3091.55042072,5.59897198,5.59246882,1.59363567,5.70805875,1.21404097,-6.04029668,-12.44048772,0.29055322,244.14292626,76.0,93.0,0.02589783,2.17361806,0.02733803,304.13133812,76.24953055,304.15723595,76.25602346,83.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,482.24568868,95.90965454,19.88813105,432.29899234,2493.9090258,11.33208109,26.00269011,5.17144909,2.52197523,2.54696668,10.99425979,3096.55073918,3096.46938697,305.18277689,3249.10145152,5.66130374,5.66122938,1.77728619,5.79907856,-0.46985722,1.01141628,0.00014351,0.02076039,359.9984853,1406.0,68.0,0.01014366,1.22564381,0.01057515,386.32589048,80.10976553,386.33603414,80.11186895,85.1134307585
823.0,4.23501342,20.57858634,19.88269212,,,536.54472219,102.17847936,19.04379544,439.73352382,2140.2709469,12.54337409,20.94639654,3.98898891,2.86536924,2.86902881,12.27610817,2447.61978949,2448.34006166,420.80939374,2658.38462244,4.88144783,4.88216602,2.02404138,5.0872793,2.41134373,1.69522432,-4.16732417,0.12703508,292.09425659,236.0,4.0,0.00044278,0.05659572,0.00043334,434.36580004,80.95612203,434.36624283,80.95620456,86.240679988
951.0,1.69002883,20.57858634,19.88269212,,,732.30345336,135.50716828,18.50423723,547.41808155,2834.80903216,13.74644481,20.91999315,3.87108516,3.1235649,3.08924065,11.16433656,4445.71343791,4446.02425148,656.49931329,4774.11850134,5.71291623,5.71311593,2.19535249,5.92016376,-1.44365664,5.0509148,14.25262854,0.22856688,70.50192913,250.0,7.0,0.00168565,0.13857922,0.00124394,596.79459943,81.49553258,596.79628508,81.49576277,88.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,926.16498743,167.84709524,18.12280722,626.53558782,3438.82472744,16.96071579,20.48784176,3.71297207,3.53088101,3.47285034,11.26757156,5639.28037705,5651.73923685,1030.19074451,6160.6051792,5.78192139,5.78830487,2.4712641,6.04327041,-7.84102259,-9.62630888,0.86972208,0.12018618,174.75565206,315.0,28.0,0.00576601,0.54787183,0.00343515,758.31212619,81.87657021,758.31789219,81.87719278,90.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,663.79600352,150.68199852,22.70004606,517.62869219,3123.56454028,18.62676411,20.72951362,4.70560914,2.94142803,2.93207746,10.42565871,4939.58398351,4936.53334596,664.52227572,5270.3198026,5.71212337,5.71035922,2.09511161,5.90025628,-0.78049437,-32.75310386,-6.38401958,0.44717328,191.02741149,240.0,87.0,0.02265006,1.94382058,0.01502944,513.09135494,77.29654174,513.114005,77.29995394,93.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,4071.15639416,819.22741141,20.12272023,1539.30100088,16327.00970033,77.97490727,19.92976489,4.01041083,7.46185085,7.33168138,10.9342855,35516.92075776,35681.96636396,22081.43917737,46640.16314955,6.56950524,6.58475165,5.17998734,7.52826747,200.56603545,101.09050079,-374.04482943,1.62009304,284.55872577,849.0,398.0,0.12462801,9.70311682,0.01521056,3251.80435474,79.87421852,3251.92898275,79.87727977,95.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,654.91582389,126.63439595,19.33598049,513.68365547,2549.07718844,13.99705874,20.12942194,3.8922211,2.91812009,2.97419452,11.45716683,4211.32634437,4225.70804252,542.39526996,4489.71482842,5.75349788,5.76331361,2.06481171,5.94062156,-0.92938786,-5.45338264,-58.78711239,0.91806283,264.69373962,231.0,65.0,0.02083733,1.62870188,0.01645201,528.2605906,80.66083783,528.28142793,80.66401951,97.1134307585
833.0,4.0361865,20.57858634,19.88269212,,,543.06412657,86.89227008,16.00037009,444.2829954,1562.53269281,10.79961119,17.98241307,2.87725264,2.81536557,2.82378548,12.36335039,1917.1363841,1914.88957943,348.24017551,2090.13306952,4.68872168,4.68597338,1.99833082,4.89570136,4.54233447,7.7774411,-24.34320248,0.93260675,287.55903857,124.0,92.0,0.03457271,2.6132353,0.03977219,456.13728378,83.99326368,456.17185649,83.99962991,101.230738642
814.0,1.69002883,17.85465752,19.88269212,,,1928.38153916,537.18782177,27.85692618,944.06920016,4796.13057426,56.70300763,8.92821911,2.48712741,5.44704216,5.28118092,9.75342111,15271.81421376,15071.64341824,8070.93461002,19207.19612101,5.32916555,5.29412512,3.87414445,5.97648565,98.28022017,60.21158752,408.51215542,3.37588421,81.09991295,229.0,636.0,0.24502964,17.09412289,0.0455926,1390.94868775,72.13036733,1391.19371739,72.14307382,102.9772343175
