Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
301.0,14.61378,20.57859,19.88269,,,76.57638,28.15337,36.76508,105.67766,360.99771,30.46971,12.82254,4.71422,0.79127,2.04913,2.04901,17.51807,116.72093,116.73803,57.69568,145.57732,2.03587,2.03602,1.43136,2.27365,0.23172,0.6518,-2.17765,2.19688,286.47971,0.37026,0.28956,1.26967,0.49895,2.54529,16.0,144.0,0.04884,4.15421,0.17318,48.37417,63.17114,48.42301,63.23492,8.7596185
951.0,1.69003,20.57859,19.88269,,,196.40603,73.62846,37.48788,249.33625,867.29935,77.59276,11.7794,4.41585,0.48279,1.81272,1.86745,11.17952,2240.07803,2236.50638,121.87171,2299.22806,5.51542,5.51102,1.28647,5.58776,-0.70501,6.33559,-15.45574,0.45255,292.26928,0.24591,0.32231,1.1631,0.51255,2.57045,22.0,403.0,0.14993,12.11278,0.20321,122.62765,62.43578,122.77757,62.51212,11.113431
739.0,1.69003,16.36346,19.88269,,,209.11061,78.72673,37.64837,236.08801,861.94741,71.31194,10.9486,4.12197,0.37383,2.14876,2.09462,9.41632,1414.31519,1415.17418,176.33873,1502.91405,4.2383,4.23959,1.49656,4.36904,-0.35924,6.95397,17.02026,0.85001,67.77448,0.20487,0.34,1.1073,0.56913,2.57756,31.0,428.0,0.15066,12.55343,0.191,130.23323,62.27959,130.38388,62.35163,12.9026745
379.0,1.69003,9.20569,19.88269,,,94.56152,32.33267,34.1922,125.12806,393.66262,34.09307,12.17538,4.16303,0.50267,1.96552,2.03847,5.30194,183.12803,183.7235,64.31522,215.58337,2.37972,2.38359,1.41028,2.582,-1.75526,-0.38115,1.7789,0.87843,102.91896,0.24772,0.31068,1.10056,0.60249,2.53159,15.0,161.0,0.04276,4.05231,0.13208,62.18609,65.76258,62.22885,65.8078,14.544786
386.0,12.92375,20.57859,19.88269,,,96.30806,31.97195,33.19758,126.9782,361.28916,36.44012,11.30019,3.75139,2.0236,1.97238,2.06179,16.76632,185.48503,187.71036,61.32148,217.25844,2.4078,2.42221,1.38444,2.60588,0.09679,1.5256,-1.43771,0.95827,317.20942,1.07446,0.34316,0.96741,0.63472,2.50934,22.0,75.0,0.0387,2.59329,0.12089,64.29742,66.76224,64.33611,66.80242,15.675117
951.0,1.69003,20.57859,19.88269,,,269.09938,100.44142,37.32503,295.69322,1144.38295,88.30898,11.39354,4.25264,-0.51493,2.13528,2.12786,11.10391,3129.75457,3126.48121,227.14466,3241.69022,5.58276,5.57984,1.50399,5.68171,-3.60498,14.1723,16.74232,0.43271,49.79591,-0.27117,0.32315,1.15504,0.58515,2.58439,21.0,693.0,0.22604,19.50216,0.22454,168.43192,62.59097,168.65796,62.67497,18.113431
810.0,1.69003,17.77513,19.88269,,,367.93642,145.51073,39.54779,333.49226,1857.32456,97.5739,12.76418,5.04795,-2.44613,2.70546,2.70068,10.0314,3383.32295,3380.71887,527.40658,3645.7242,4.8245,4.82265,1.90482,5.0081,-6.14927,-9.37521,-18.87701,0.4224,243.68439,-1.14984,0.27679,1.42878,0.48601,2.69699,39.0,1606.0,0.4149,42.33922,0.28432,222.01079,60.33944,222.42569,60.45221,19.973258
440.0,8.41038,17.13888,19.88269,,,151.54164,50.33334,33.2142,171.04911,581.33318,48.13472,11.54966,3.83613,1.27917,2.36806,2.35141,12.83346,385.49137,388.62021,139.97076,457.04117,2.76687,2.77808,1.66725,3.01272,-0.98565,-4.46965,-1.23008,1.07822,195.00683,0.66452,0.34074,0.97477,0.60028,2.57934,19.0,166.0,0.05032,4.39006,0.09987,101.15798,66.7526,101.2083,66.7858,25.277463
306.0,14.51437,20.57859,19.88269,,,106.24857,40.08811,37.73049,129.93976,485.31631,39.80133,12.10624,4.56774,0.55557,2.29349,2.426,17.56742,184.94707,183.06051,110.18242,239.095,2.14775,2.13676,1.65774,2.44199,-0.26758,2.06293,3.61482,3.22835,61.01825,0.27535,0.32037,1.17772,0.49791,2.60757,11.0,270.0,0.05531,6.23744,0.13778,66.10515,62.21745,66.16046,62.26951,27.754648
951.0,1.69003,20.57859,19.88269,,,244.43222,89.06976,36.43945,280.69574,1026.0336,81.1168,11.51944,4.19762,0.65582,2.01112,2.06858,11.18236,2813.76302,2816.09865,181.32291,2905.59229,5.62003,5.62236,1.42666,5.711,0.67009,-4.86197,-8.30198,0.20931,239.61575,0.34159,0.33655,1.08274,0.52199,2.57949,33.0,568.0,0.15632,14.76253,0.1752,155.20615,63.4966,155.36247,63.56055,28.113431
951.0,1.69003,20.57859,19.88269,,,313.49278,122.19386,38.9782,321.53709,1428.93786,95.76997,11.69402,4.55812,0.23171,2.30664,2.30148,11.66815,3720.24517,3722.11918,324.65239,3883.50837,5.51763,5.51902,1.62996,5.6374,-0.15592,-4.41091,-12.25498,0.21965,250.19673,0.11889,0.32621,1.19488,0.47353,2.64783,31.0,811.0,0.21263,20.72889,0.17371,191.0863,60.95397,191.29893,61.0218,30.113431
869.0,1.69003,18.94821,19.88269,,,236.57955,96.89372,40.95608,266.87127,1171.18174,84.81485,12.08728,4.95048,0.00088,2.09169,2.07581,10.77803,2462.63056,2459.87901,211.90217,2567.20587,5.04152,5.0387,1.47887,5.14745,1.2988,-1.63567,10.32504,0.26638,98.95956,0.00044,0.31566,1.29749,0.42081,2.62641,22.0,631.0,0.17174,16.67274,0.17693,139.5141,58.97133,139.68583,59.04392,32.031912
499.0,10.67701,20.57859,19.88269,,,268.6021,89.62696,33.36793,247.05708,981.59831,68.37646,10.95204,3.65447,1.96385,2.92017,2.93476,15.44536,913.3094,912.91591,383.99106,1105.10819,3.19118,3.19049,2.0692,3.51031,1.82834,2.8135,-10.70199,1.19592,284.54642,1.07588,0.36048,0.92566,0.59562,2.62615,26.0,276.0,0.09205,7.45365,0.1026,178.88309,66.5978,178.97514,66.63207,32.562780000000004
951.0,1.69003,20.57859,19.88269,,,367.31952,126.36893,34.403,351.38449,1423.18714,96.04642,11.26216,3.87452,1.08449,2.52169,2.49713,11.24197,3899.21773,3901.82732,389.58675,4095.3159,5.55386,5.55572,1.75553,5.6918,1.79089,7.0974,-3.84606,0.13171,331.58066,0.57777,0.35085,0.98055,0.57473,2.63013,30.0,630.0,0.17633,16.80704,0.13935,240.77425,65.549,240.95059,65.597,33.113431000000006
951.0,1.69003,20.57859,19.88269,,,435.49059,141.08098,32.39587,385.4975,1531.00326,102.9204,10.85195,3.51558,1.30342,2.67152,2.70756,11.27941,4518.51363,4521.63857,516.63514,4778.39367,5.65816,5.66012,1.91324,5.8186,-2.04694,-24.17807,6.90042,0.36004,164.05818,0.72065,0.35885,0.90277,0.63362,2.62588,41.0,587.0,0.17851,16.0475,0.12637,294.2311,67.56314,294.40961,67.60413,35.113431000000006
836.0,1.69003,18.29208,19.88269,,,188.47838,65.40752,34.70293,232.60668,731.86595,59.94747,11.18932,3.88302,0.81463,1.93427,1.87723,10.50126,1594.75182,1592.28139,115.85321,1651.44321,4.93718,4.93336,1.33072,5.02417,1.39917,0.16333,-2.03842,0.07935,274.5198,0.43683,0.34827,0.99644,0.59121,2.53643,24.0,352.0,0.10033,9.37399,0.15316,122.97052,65.24384,123.07085,65.29707,36.9991055
499.0,5.58704,15.48862,19.88269,,,126.94962,40.52355,31.92097,158.45286,448.97468,41.29911,11.07935,3.53664,2.52954,1.958,1.9768,10.55889,379.40146,375.34192,81.29421,418.01879,3.05852,3.04212,1.41577,3.21041,-0.34413,-1.44784,-4.9534,1.00346,253.97303,1.36987,0.36277,0.87992,0.61589,2.51437,17.0,125.0,0.03976,3.36574,0.09802,86.38631,68.04771,86.42607,68.07903,38.053782999999996
951.0,1.69003,20.57859,19.88269,,,454.70109,148.61989,32.68519,394.78645,1775.65551,108.45327,11.94763,3.90511,0.75763,2.76162,2.73029,11.64575,4856.50243,4857.02374,569.86157,5141.69387,5.71572,5.71603,1.95792,5.88115,7.90279,-11.05553,14.7774,0.24621,126.77504,0.38047,0.31808,1.02759,0.60393,2.64929,60.0,852.0,0.29793,23.90901,0.20006,305.78326,67.24929,306.08119,67.31481,40.113431000000006
200.0,16.62193,20.57859,19.88269,,,45.99518,17.73616,38.56091,73.69981,206.49232,22.49885,11.64245,4.48943,0.84693,1.83623,1.91097,18.58062,39.43764,39.90377,31.92525,55.63333,1.49098,1.49977,1.34148,1.77086,-0.46868,-0.62137,0.72197,7.31228,132.78976,0.43647,0.33362,1.15584,0.4772,2.50126,7.0,86.0,0.02007,2.05297,0.11306,28.23895,61.39545,28.25902,61.43909,41.860026000000005
951.0,1.69003,20.57859,19.88269,,,157.84306,56.32114,35.68173,221.98347,623.95913,60.00859,11.0786,3.95303,2.02106,1.64872,1.65986,11.50007,1626.5312,1625.38549,74.76223,1663.33946,5.37216,5.37027,1.15175,5.43261,0.07632,-6.63155,-4.39114,0.29374,213.53144,1.09457,0.36274,0.98366,0.5668,2.51814,21.0,171.0,0.09586,5.7318,0.16991,101.42606,64.25754,101.52192,64.31827,42.113431000000006
382.0,1.69003,9.26533,19.88269,,,106.05006,28.13329,26.52831,134.32427,372.41121,34.4838,13.23738,3.51165,1.54789,2.11139,2.25155,5.48937,168.45233,169.166,62.21986,199.91909,2.44621,2.45139,1.48669,2.66491,-0.34598,-4.61341,-0.91361,2.52625,190.95747,0.7016,0.30834,0.86037,0.76718,2.46273,58.0,97.0,0.02207,2.35432,0.07837,77.8947,73.45088,77.91677,73.47169,48.547768000000005
797.0,4.75196,20.57859,19.88269,,,752.08058,85.82692,11.41193,530.91971,853.7988,11.24993,9.94791,1.13525,2.17331,3.91518,2.76587,12.65021,1983.62353,2012.04325,328.5992,2162.133,4.80586,4.84017,1.95603,5.01745,-47.59703,-309.85904,213.45565,12.46016,145.32069,1.31082,0.39498,0.28893,2.12754,2.46288,60.0,117.0,0.13734,6.37097,0.15976,666.11632,88.56981,666.25366,88.58807,59.266527499999995
951.0,1.69003,20.57859,19.88269,,,218.71111,69.06409,31.57777,264.0839,827.45923,71.32569,11.98103,3.78334,1.62428,1.86723,1.9395,11.11344,2152.69522,2147.5219,128.51191,2214.36451,5.58135,5.57464,1.3637,5.66073,-3.88053,-15.95624,-0.80956,0.45211,182.80234,0.81342,0.32498,0.9717,0.66496,2.52005,41.0,216.0,0.06605,5.85315,0.09554,149.58098,68.39203,149.64702,68.42223,61.113431000000006
951.0,1.69003,20.57859,19.88269,,,341.6283,111.07098,32.51223,336.90143,1154.77767,92.73097,10.39675,3.38022,0.43828,2.48237,2.31154,11.53743,3486.34469,3494.42068,319.29849,3650.03193,5.60226,5.60874,1.69542,5.73227,2.36874,48.46106,-31.72073,1.04586,326.87677,0.25293,0.37573,0.86531,0.75828,2.56337,19.0,515.0,0.24614,16.08562,0.22112,230.31118,67.41572,230.55732,67.48777,62.113431000000006
632.0,8.03261,20.57859,19.88269,,,142.48579,44.94373,31.5426,181.34737,506.75452,46.93632,11.27531,3.55653,1.80922,1.91938,1.94307,14.18144,672.30661,674.90348,80.86261,714.03635,3.86647,3.87393,1.34093,3.98466,-2.26295,-0.3915,5.97024,0.57731,93.9854,0.96275,0.33834,0.93228,0.69191,2.50549,11.0,103.0,0.06168,3.7465,0.13704,97.48038,68.41411,97.54206,68.4574,63.43056
951.0,1.69003,20.57859,19.88269,,,249.08161,77.14866,30.97325,283.7532,811.34157,64.54572,10.5166,3.25733,0.51941,2.00376,2.06662,10.64471,2341.13578,2340.43684,155.83761,2418.70512,5.50833,5.50751,1.42116,5.59884,-1.82339,7.6131,-26.82089,0.73137,285.88241,0.29634,0.35837,0.86429,0.77492,2.48769,35.0,362.0,0.12675,10.55475,0.16402,171.8062,68.97587,171.93295,69.02675,64.11343099999999
744.0,4.55314,19.32598,19.88269,,,192.99939,59.22047,30.68428,226.60946,662.36289,56.3657,11.1847,3.43194,1.59345,2.07906,2.07007,11.6133,1097.01565,1101.28262,122.24281,1160.27054,4.30286,4.31122,1.43636,4.42518,1.28061,-0.00334,-6.87152,0.40211,269.89673,0.8548,0.3436,0.89302,0.70178,2.50382,24.0,199.0,0.08353,6.46256,0.14086,133.69538,69.27244,133.77892,69.31572,64.193956
845.0,1.69003,18.47102,19.88269,,,230.04567,60.80732,26.43272,260.25309,646.91267,56.41217,10.63873,2.81211,1.66807,2.0318,2.11801,10.46178,1411.10042,1414.18252,130.05844,1477.67069,4.816,4.82126,1.4621,4.92829,-0.19197,2.20983,12.78452,0.57882,80.17815,0.94075,0.3546,0.74543,0.91586,2.43648,20.0,116.0,0.07672,4.60113,0.126,169.16163,73.53393,169.23835,73.56728,66.0080525
828.0,4.1356,20.57859,19.88269,,,1351.19132,430.05503,31.82784,721.88591,4021.86258,198.53801,9.35197,2.97653,-1.53496,5.13429,5.56353,12.15636,13357.75127,13271.51545,5714.78433,16172.02552,5.57465,5.55662,3.64628,6.13385,109.32406,-229.42422,-81.81794,1.84308,200.46643,-0.98479,0.41586,0.76536,0.84804,2.62292,85.0,6721.0,2.08818,221.51194,0.48322,919.0481,68.01761,921.13629,68.17216,66.2357095
864.0,1.69003,18.84879,19.88269,,,490.52873,144.8609,29.53158,400.6023,1979.88375,91.68033,13.66748,4.03622,1.88346,3.01898,2.98411,10.58461,3925.9292,3931.32597,660.77095,4259.01306,5.20392,5.2075,2.13494,5.42018,3.73278,40.59274,54.83896,1.19658,53.42624,0.82684,0.28458,1.03771,0.57895,2.64845,61.0,683.0,0.19378,17.64808,0.13359,345.47405,70.42891,345.66783,70.46842,68.026941
867.0,2.88299,20.1014,19.88269,,,611.74686,65.71454,10.74211,493.23412,779.27414,8.45365,11.85847,1.27385,3.33148,3.35567,2.27347,11.70348,1741.53041,1884.42418,274.28839,1950.12149,5.14476,5.35167,2.04176,5.44416,45.60147,475.52365,130.16005,17.07186,15.40028,1.68562,0.37595,0.28573,2.29964,2.49157,31.0,81.0,0.05254,2.91402,0.07989,545.97978,89.2493,546.03232,89.25789,73.1492195
881.0,1.69003,19.1868,19.88269,,,196.30403,55.9385,28.49585,242.25683,554.56637,61.08805,9.91386,2.82504,2.02476,1.87921,1.88155,11.01253,1516.92473,1518.24486,98.77406,1566.97183,5.20589,5.20815,1.32842,5.29107,-1.96792,-1.10659,-3.21039,0.13696,251.0276,1.22541,0.43781,0.65087,0.80205,2.42534,22.0,142.0,0.04348,3.85694,0.07767,140.32205,71.482,140.36554,71.50415,74.0438415
857.0,3.559,20.57859,19.88269,,,750.06841,94.7078,12.62656,559.59357,729.21059,10.50514,7.69958,0.97219,2.48351,5.08427,2.38259,12.50483,2392.06232,2564.39579,436.98732,2696.72272,5.02417,5.202,2.1474,5.33453,33.45363,640.0403,128.63863,16.91062,11.30436,1.93531,0.5999,0.21048,2.42502,2.407,46.0,99.0,0.05461,3.49283,0.05763,655.30599,87.36616,655.36061,87.37344,75.2068795
